Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
16-4-4,94,1,78,77,77.0,77.0,77.0,0.0,0.0
16-4-4,95,1,98,97,97.0,97.0,97.0,0.0,0.0
16-4-4,96,1,84,83,83.0,83.0,83.0,0.0,0.0
16-4-4,97,1,85,84,84.0,84.0,84.0,0.0,0.0
16-4-4,98,1,79,78,78.0,78.0,78.0,0.0,0.0
16-4-4,99,1,81,80,80.0,80.0,80.0,0.0,0.0
18-4-4,1,1,104,103,103.0,103.0,103.0,0.0,0.0
18-4-4,10,1,120,119,119.0,119.0,119.0,0.0,0.0
18-4-4,100,1,98,97,97.0,97.0,97.0,0.0,0.0
18-4-4,11,1,97,96,96.0,96.0,96.0,0.0,0.0
18-4-4,12,1,99,98,98.0,98.0,98.0,0.0,0.0
