Folder	File	Mutants total	Mutants dead total	Mutants alive	Mutantion score			
18-4-4	48	154208	1568	152640	1%			
18-4-4	49	154208	1568	152640	1%			
18-4-4	5	154208	6924	147284	4%			
18-4-4	50	154208	1568	152640	1%			
18-4-4	51	154208	1568	152640	1%			
18-4-4	52	154208	3370	150838	2%			
18-4-4	53	154208	5106	149102	3%			
18-4-4	54	154208	3294	150914	2%			
18-4-4	55	154208	1568	152640	1%			
18-4-4	56	154208	1568	152640	1%			
18-4-4	57	154208	1568	152640	1%			
18-4-4	58	154208	3294	150914	2%			
18-4-4	59	154208	1568	152640	1%			
18-4-4	6	154208	8569	145639	6%			
18-4-4	60	154208	8846	145362	6%			
18-4-4	61	154208	1568	152640	1%			
18-4-4	62	154208	3370	150838	2%			
18-4-4	63	154208	1568	152640	1%			
18-4-4	64	154208	5024	149184	3%			
18-4-4	65	154208	1568	152640	1%			
18-4-4	66	154208	1568	152640	1%			
18-4-4	67	154208	6179	148029	4%			
18-4-4	68	154208	6839	147369	4%			
18-4-4	69	154208	10858	143350	7%			
18-4-4	7	154208	3294	150914	2%			
18-4-4	70	154208	3294	150914	2%			
18-4-4	71	154208	13834	140374	9%			
18-4-4	72	154208	3294	150914	2%			
18-4-4	73	154208	1568	152640	1%			
18-4-4	74	154208	1568	152640	1%			
18-4-4	75	154208	1568	152640	1%			
18-4-4	76	154208	8569	145639	6%			
18-4-4	77	154208	12152	142056	8%			
18-4-4	78	154208	3294	150914	2%			
18-4-4	79	154208	9872	144336	6%			
18-4-4	8	154208	11348	142860	7%			
18-4-4	80	154208	6922	147286	4%			
18-4-4	81	154208	5105	149103	3%			
18-4-4	82	154208	5024	149184	3%			
18-4-4	83	154208	1568	152640	1%			
18-4-4	84	154208	1568	152640	1%			
18-4-4	85	154208	6839	147369	4%			
18-4-4	86	154208	3294	150914	2%			
18-4-4	87	154208	1568	152640	1%			
18-4-4	89	154208	10954	143254	7%			
18-4-4	9	154208	1568	152640	1%			
18-4-4	90	154208	6839	147369	4%			
18-4-4	91	154208	3294	150914	2%			
18-4-4	92	154208	5024	149184	3%			
18-4-4	93	154208	14181	140027	9%			
18-4-4	94	154208	10540	143668	7%			
18-4-4	95	154208	1568	152640	1%			
18-4-4	96	154208	8569	145639	6%			
18-4-4	97	154208	1568	152640	1%			
18-4-4	98	154208	3294	150914	2%			
18-4-4	99	154208	5103	149105	3%			
20-4-4	1	154208	3294	150914	2%			
20-4-4	10	154208	5024	149184	3%			
20-4-4	100	154208	6839	147369	4%			
20-4-4	11	154208	6839	147369	4%			
20-4-4	12	154208	3542	150666	2%			
20-4-4	13	154208	6670	147538	4%			
20-4-4	14	154208	10516	143692	7%			
20-4-4	15	154208	3294	150914	2%			
20-4-4	16	154208	3294	150914	2%			
20-4-4	17	154208	3294	150914	2%			
20-4-4	18	154208	3294	150914	2%			
20-4-4	19	154208	6655	147553	4%			
20-4-4	2	154208	1568	152640	1%			
20-4-4	20	154208	1568	152640	1%			
20-4-4	21	154208	1568	152640	1%			
20-4-4	22	154208	5024	149184	3%			
20-4-4	23	154208	5024	149184	3%			
20-4-4	24	154208	6839	147369	4%			
20-4-4	25	154208	14067	140141	9%			
20-4-4	26	154208	1568	152640	1%			
20-4-4	27	154208	14628	139580	9%			
20-4-4	28	154208	10614	143594	7%			
20-4-4	29	154208	7120	147088	5%			
20-4-4	3	154208	1568	152640	1%			
20-4-4	30	154208	5113	149095	3%			
20-4-4	31	154208	1568	152640	1%			
20-4-4	32	154208	12068	142140	8%			
20-4-4	33	154208	5106	149102	3%			
20-4-4	34	154208	8888	145320	6%			
20-4-4	35	154208	6179	148029	4%			
20-4-4	36	154208	3294	150914	2%			
20-4-4	37	154208	4765	149443	3%			
20-4-4	38	154208	10295	143913	7%			
20-4-4	39	154208	6179	148029	4%			
20-4-4	4	154208	5024	149184	3%			
20-4-4	40	154208	15809	138399	10%			
20-4-4	41	154208	1568	152640	1%			
20-4-4	42	154208	3294	150914	2%			
20-4-4	43	154208	15812	138396	10%			
20-4-4	44	154208	1568	152640	1%			
20-4-4	45	154208	1568	152640	1%			
20-4-4	46	154208	1568	152640	1%			
20-4-4	47	154208	1568	152640	1%			
20-4-4	48	154208	3542	150666	2%			
20-4-4	49	154208	8693	145515	6%			
20-4-4	5	154208	1568	152640	1%			
20-4-4	50	154208	1568	152640	1%			
20-4-4	51	154208	1568	152640	1%			
20-4-4	52	154208	8806	145402	6%			
20-4-4	53	154208	1568	152640	1%			
20-4-4	54	154208	5024	149184	3%			
20-4-4	55	154208	3294	150914	2%			
20-4-4	56	154208	1568	152640	1%			
20-4-4	57	154208	10458	143750	7%			
20-4-4	58	154208	1568	152640	1%			
20-4-4	59	154208	6839	147369	4%			
20-4-4	6	154208	5024	149184	3%			
20-4-4	60	154208	3294	150914	2%			
20-4-4	61	154208	8569	145639	6%			
20-4-4	62	154208	6838	147370	4%			
20-4-4	63	154208	6922	147286	4%			
20-4-4	64	154208	6922	147286	4%			
20-4-4	65	154208	1568	152640	1%			
20-4-4	66	154208	8802	145406	6%			
20-4-4	67	154208	3294	150914	2%			
20-4-4	68	154208	1568	152640	1%			
20-4-4	69	154208	1568	152640	1%			
20-4-4	7	154208	5024	149184	3%			
20-4-4	70	154208	11870	142338	8%			
20-4-4	71	154208	15723	138485	10%			
20-4-4	72	154208	3542	150666	2%			
20-4-4	73	154208	6839	147369	4%			
20-4-4	74	154208	5024	149184	3%			
20-4-4	75	154208	5024	149184	3%			
20-4-4	76	154208	3294	150914	2%			
20-4-4	77	154208	1568	152640	1%			
20-4-4	78	154208	1568	152640	1%			
20-4-4	8	154208	3294	150914	2%			
20-4-4	80	154208	6670	147538	4%			
20-4-4	81	154208	10516	143692	7%			
20-4-4	82	154208	5024	149184	3%			
20-4-4	84	154208	6838	147370	4%			
20-4-4	85	154208	5017	149191	3%			
20-4-4	86	154208	3370	150838	2%			
20-4-4	87	154208	3542	150666	2%			
20-4-4	89	154208	1568	152640	1%			
20-4-4	9	154208	16092	138116	10%			
20-4-4	90	154208	12215	141993	8%			
20-4-4	91	154208	1568	152640	1%			
20-4-4	92	154208	7988	146220	5%			
20-4-4	93	154208	8570	145638	6%			
20-4-4	94	154208	5024	149184	3%			
20-4-4	95	154208	1568	152640	1%			
20-4-4	96	154208	22216	131992	14%			
20-4-4	97	154208	3294	150914	2%			
20-4-4	98	154208	5024	149184	3%			
20-4-4	99	154208	1568	152640	1%			
