Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
14-4-4,8,17,658,641,20.0,51.0,37.705882352941174,10.05463018888781,101.09558823529412
14-4-4,80,14,506,492,14.0,48.0,35.142857142857146,12.088501484132273,146.13186813186815
14-4-4,81,12,419,407,18.0,46.0,33.916666666666664,8.959082068780903,80.26515151515152
14-4-4,82,14,558,544,14.0,48.0,38.857142857142854,9.590517294600014,91.97802197802197
14-4-4,83,10,468,458,23.0,57.0,45.8,12.200182148002728,148.84444444444446
14-4-4,84,17,534,517,12.0,41.0,30.411764705882355,9.943960626489652,98.88235294117648
14-4-4,85,13,573,560,19.0,57.0,43.07692307692308,12.559601496209574,157.74358974358975
14-4-4,86,13,551,538,34.0,48.0,41.38461538461539,4.874054806463532,23.756410256410252
14-4-4,87,16,568,552,15.0,47.0,34.5,12.559193180030846,157.73333333333332
14-4-4,88,14,632,618,29.0,49.0,44.142857142857146,5.2456156470412045,27.51648351648351
14-4-4,89,13,539,526,29.0,46.0,40.46153846153846,4.771711513621792,22.769230769230774
14-4-4,9,13,512,499,24.0,52.0,38.38461538461539,9.596340114321897,92.08974358974359
14-4-4,90,12,484,472,16.0,52.0,39.333333333333336,12.286972652761012,150.96969696969697
14-4-4,91,7,354,347,30.0,56.0,49.57142857142857,9.180725150319788,84.28571428571429
14-4-4,92,14,523,509,13.0,49.0,36.357142857142854,12.295134390088204,151.17032967032964
14-4-4,93,20,601,581,16.0,43.0,29.05,10.049744694321973,100.99736842105263
14-4-4,94,11,472,461,13.0,55.0,41.90909090909091,14.706832054895749,216.2909090909091
14-4-4,95,14,483,469,17.0,45.0,33.5,8.318191371464573,69.1923076923077
14-4-4,96,15,568,553,20.0,47.0,36.86666666666667,9.101543563489395,82.83809523809524
14-4-4,97,21,661,640,14.0,39.0,30.476190476190474,8.857872473788769,78.46190476190475
14-4-4,98,13,525,512,23.0,50.0,39.38461538461539,8.10903263382324,65.75641025641028
14-4-4,99,14,521,507,11.0,53.0,36.214285714285715,15.48785415651976,239.87362637362637
16-4-4,1,19,858,839,27.0,57.0,44.1578947368421,10.259213517044282,105.25146198830411
16-4-4,10,22,948,926,28.0,48.0,42.09090909090909,4.868842542702289,23.70562770562769
16-4-4,100,21,880,859,36.0,43.0,40.904761904761905,1.9976176286957896,3.9904761904761896
16-4-4,11,16,571,555,8.0,59.0,34.6875,18.70372066372535,349.82916666666665
16-4-4,12,18,847,829,19.0,63.0,46.05555555555556,15.671150797572635,245.58496732026143
16-4-4,13,19,725,706,14.0,52.0,37.1578947368421,12.459994461808725,155.2514619883041
16-4-4,14,21,889,868,20.0,52.0,41.333333333333336,10.120935398140496,102.43333333333331
16-4-4,15,22,704,682,17.0,39.0,31.0,5.976143046671968,35.714285714285715
16-4-4,16,16,860,844,29.0,64.0,52.75,10.79197232514366,116.46666666666667
16-4-4,17,15,731,716,38.0,59.0,47.733333333333334,6.9741017513436985,48.63809523809524
16-4-4,18,14,760,746,28.0,66.0,53.285714285714285,12.331501695492486,152.06593406593407
